學校名稱,在學學生數小計,在學學生數女,在學學生數男,女生比例,男生比例
國立臺南護理專科學校,9695,8939,756,92.0%,8.0%
耕莘健康管理專科學校,24311,21938,2373,90.0%,10.0%
長庚學校財團法人長庚科技大學,32514,29335,3179,90.0%,10.0%
育英醫護管理專科學校,9892,8844,1048,89.0%,11.0%
敏惠醫護管理專科學校,19472,17062,2410,88.0%,12.0%
新生醫護管理專科學校,30232,26449,3783,87.0%,13.0%
崇仁醫護管理專科學校,16727,14601,2126,87.0%,13.0%
馬偕學校財團法人馬偕醫護管理專科學校,20983,17980,3003,86.0%,14.0%
國立臺北護理健康大學,26254,21536,4718,82.0%,18.0%
聖母醫護管理專科學校,12592,9963,2629,79.0%,21.0%
慈惠醫護管理專科學校,22422,17173,5249,77.0%,23.0%
仁德醫護管理專科學校,32360,24719,7641,76.0%,24.0%
慈濟學校財團法人慈濟科技大學,15498,11656,3842,75.0%,25.0%
文藻學校財團法人文藻外語大學,45872,34192,11680,75.0%,25.0%
樹人醫護管理專科學校,36116,26905,9211,74.0%,26.0%
輔英科技大學,47758,34831,12927,73.0%,27.0%
康寧學校財團法人康寧大學,19658,14217,5441,72.0%,28.0%
高美醫護管理專科學校,590,420,170,71.0%,29.0%
經國管理暨健康學院,21245,15039,6206,71.0%,29.0%
國立臺中科技大學,78164,55032,23132,70.0%,30.0%
國立臺北商業大學,37403,26152,11251,70.0%,30.0%
台南家專學校財團法人台南應用科技大學,62257,43844,18413,70.0%,30.0%
美和學校財團法人美和科技大學,35665,24996,10669,70.0%,30.0%
國立高雄餐旅大學,25227,17479,7748,69.0%,31.0%
法鼓學校財團法人法鼓文理學院,1483,1028,455,69.0%,31.0%
亞太學校財團法人亞太創意技術學院,894,616,278,69.0%,31.0%
國立臺北教育大學,29235,19872,9363,68.0%,32.0%
國立臺灣藝術大學,28157,19267,8890,68.0%,32.0%
致理學校財團法人致理科技大學,57572,39140,18432,68.0%,32.0%
中華醫事科技大學,44627,30177,14450,68.0%,32.0%
唯心聖教學院,15,10,5,67.0%,33.0%
實踐大學,68212,45754,22458,67.0%,33.0%
國立臺中教育大學,24808,16456,8352,66.0%,34.0%
國立臺南藝術大學,7966,5271,2695,66.0%,34.0%
弘光科技大學,64075,42176,21899,66.0%,34.0%
國立臺灣戲曲學院,2903,1895,1008,65.0%,35.0%
中臺科技大學,41868,27373,14495,65.0%,35.0%
馬偕學校財團法人馬偕醫學院,3775,2434,1341,64.0%,36.0%
國立臺北藝術大學,15508,9896,5612,64.0%,36.0%
中山醫學大學,35131,22025,13106,63.0%,37.0%
台神學校財團法人台灣神學研究學院,481,296,185,62.0%,38.0%
慈濟學校財團法人慈濟大學,17012,10511,6501,62.0%,38.0%
世新大學,57357,35826,21531,62.0%,38.0%
亞洲大學,58443,36036,22407,62.0%,38.0%
靜宜大學,60591,37277,23314,62.0%,38.0%
台灣基督長老教會南神神學院,262,162,100,62.0%,38.0%
東吳大學,77791,46577,31214,60.0%,40.0%
臺北市立大學,39358,23440,15918,60.0%,40.0%
銘傳大學,94479,56883,37596,60.0%,40.0%
輔仁大學,130313,76385,53928,59.0%,41.0%
大同技術學院,7492,4443,3049,59.0%,41.0%
國立屏東大學,45060,26809,18251,59.0%,41.0%
臺北醫學大學,30328,17718,12610,58.0%,42.0%
嶺東科技大學,51877,29944,21933,58.0%,42.0%
嘉藥學校財團法人嘉南藥理大學,66881,38563,28318,58.0%,42.0%
